dihedral_deg,actual_rel_e,pred_total_rel_e,pred_short_rel_e,pred_long_rel_e,pred_total_abs_e,pred_short_abs_e,pred_long_abs_e
83.42481930851925,0.0,2.1457672119140625e-06,2.1457672119140625e-06,0.0,-2.0984063148498535,-2.0984063148498535,0.0
83.51375778436027,0.0,2.384185791015625e-06,2.384185791015625e-06,0.0,-2.0984060764312744,-2.0984060764312744,0.0
83.60271179666562,7.62939453125e-06,2.384185791015625e-06,2.384185791015625e-06,0.0,-2.0984060764312744,-2.0984060764312744,0.0
83.69168218714043,7.62939453125e-06,2.86102294921875e-06,2.86102294921875e-06,0.0,-2.098405599594116,-2.098405599594116,0.0
83.7806685757748,1.52587890625e-05,2.1457672119140625e-06,2.1457672119140625e-06,0.0,-2.0984063148498535,-2.0984063148498535,0.0
83.86967062145865,2.288818359375e-05,9.5367431640625e-07,9.5367431640625e-07,0.0,-2.098407506942749,-2.098407506942749,0.0
83.95868846283588,3.0517578125e-05,2.86102294921875e-06,2.86102294921875e-06,0.0,-2.098405599594116,-2.098405599594116,0.0
84.04772298530942,3.814697265625e-05,2.1457672119140625e-06,2.1457672119140625e-06,0.0,-2.0984063148498535,-2.0984063148498535,0.0
84.13677319517468,4.57763671875e-05,2.384185791015625e-06,2.384185791015625e-06,0.0,-2.0984060764312744,-2.0984060764312744,0.0
84.22583938789188,6.103515625e-05,2.6226043701171875e-06,2.6226043701171875e-06,0.0,-2.0984058380126953,-2.0984058380126953,0.0
84.31492104168031,7.62939453125e-05,2.6226043701171875e-06,2.6226043701171875e-06,0.0,-2.0984058380126953,-2.0984058380126953,0.0
84.40401976759186,9.1552734375e-05,2.86102294921875e-06,2.86102294921875e-06,0.0,-2.098405599594116,-2.098405599594116,0.0
84.49313378713768,0.0001068115234375,2.1457672119140625e-06,2.1457672119140625e-06,0.0,-2.0984063148498535,-2.0984063148498535,0.0
84.58226411541654,0.00012969970703125,2.384185791015625e-06,2.384185791015625e-06,0.0,-2.0984060764312744,-2.0984060764312744,0.0
84.67141018739875,0.00014495849609375,2.1457672119140625e-06,2.1457672119140625e-06,0.0,-2.0984063148498535,-2.0984063148498535,0.0
84.7605730401581,0.0001678466796875,2.384185791015625e-06,2.384185791015625e-06,0.0,-2.0984060764312744,-2.0984060764312744,0.0
84.84975158664358,0.00019073486328125,2.6226043701171875e-06,2.6226043701171875e-06,0.0,-2.0984058380126953,-2.0984058380126953,0.0
84.93894591481094,0.00022125244140625,2.6226043701171875e-06,2.6226043701171875e-06,0.0,-2.0984058380126953,-2.0984058380126953,0.0
85.02815651639432,0.000244140625,2.6226043701171875e-06,2.6226043701171875e-06,0.0,-2.0984058380126953,-2.0984058380126953,0.0
85.11738348351406,0.000274658203125,4.76837158203125e-07,4.76837158203125e-07,0.0,-2.0984079837799072,-2.0984079837799072,0.0
85.20662642717684,0.00029754638671875,2.384185791015625e-06,2.384185791015625e-06,0.0,-2.0984060764312744,-2.0984060764312744,0.0
85.29588562567267,0.00032806396484375,2.6226043701171875e-06,2.6226043701171875e-06,0.0,-2.0984058380126953,-2.0984058380126953,0.0
85.38516046637906,0.0003662109375,2.1457672119140625e-06,2.1457672119140625e-06,0.0,-2.0984063148498535,-2.0984063148498535,0.0
85.474452147138,0.000396728515625,2.1457672119140625e-06,2.1457672119140625e-06,0.0,-2.0984063148498535,-2.0984063148498535,0.0
85.56376013482735,0.00043487548828125,2.384185791015625e-06,2.384185791015625e-06,0.0,-2.0984060764312744,-2.0984060764312744,0.0
85.65308401474994,0.00046539306640625,7.152557373046875e-07,7.152557373046875e-07,0.0,-2.098407745361328,-2.098407745361328,0.0
85.74242342696428,0.0005035400390625,2.6226043701171875e-06,2.6226043701171875e-06,0.0,-2.0984058380126953,-2.0984058380126953,0.0
85.83177981112837,0.00054931640625,2.6226043701171875e-06,2.6226043701171875e-06,0.0,-2.0984058380126953,-2.0984058380126953,0.0
85.92115219063496,0.00058746337890625,2.6226043701171875e-06,2.6226043701171875e-06,0.0,-2.0984058380126953,-2.0984058380126953,0.0
86.01054076566723,0.00063323974609375,2.384185791015625e-06,2.384185791015625e-06,0.0,-2.0984060764312744,-2.0984060764312744,0.0
86.09994576594792,0.00067138671875,2.6226043701171875e-06,2.6226043701171875e-06,0.0,-2.0984058380126953,-2.0984058380126953,0.0
86.18936687088934,0.0007171630859375,3.0994415283203125e-06,3.0994415283203125e-06,0.0,-2.098405361175537,-2.098405361175537,0.0
86.27880421018678,0.000762939453125,2.6226043701171875e-06,2.6226043701171875e-06,0.0,-2.0984058380126953,-2.0984058380126953,0.0
86.36825808341253,0.00081634521484375,7.152557373046875e-07,7.152557373046875e-07,0.0,-2.098407745361328,-2.098407745361328,0.0
86.45772748496354,0.00086212158203125,3.0994415283203125e-06,3.0994415283203125e-06,0.0,-2.098405361175537,-2.098405361175537,0.0
86.54721384798674,0.00091552734375,2.1457672119140625e-06,2.1457672119140625e-06,0.0,-2.0984063148498535,-2.0984063148498535,0.0
