struct_id,dihedral_deg,n_atoms,e_total,e_short_eff,e_long_eff,e_long_raw,f_long_over_f_total,q0_mean,q0_abs_mean,q0_std,q1_norm_mean,q1_norm_max,q2_norm_mean,q2_norm_max,q_abs_mean_all_channels
0,83.42481930851925,13,-2.04594087600708,1.6744678020477295,-3.7204086780548096,-0.37204086780548096,1.0033917427062988,-1.074845552444458,1.074845552444458,3.151025157421827e-05,5.073557376861572,19.397743225097656,9.357268333435059,12.736579895019531,2.7966864109039307
1,83.51375778436027,13,-2.0459728240966797,1.6744677424430847,-3.7204405665397644,-0.37204405665397644,1.003392219543457,-1.074845552444458,1.074845552444458,3.151089549646713e-05,5.073976993560791,19.40094566345215,9.357850074768066,12.734796524047852,2.79668927192688
2,83.60271179666562,13,-2.046003818511963,1.6744674444198608,-3.7204712629318237,-0.3720471262931824,1.0033926963806152,-1.074845552444458,1.074845552444458,3.1498489988734946e-05,5.074397563934326,19.404132843017578,9.358431816101074,12.732991218566895,2.796691417694092
3,83.69168218714043,13,-2.046034336090088,1.674468219280243,-3.720502555370331,-0.3720502555370331,1.0033934116363525,-1.074845552444458,1.074845552444458,3.1491825211560354e-05,5.074820518493652,19.407304763793945,9.35901165008545,12.731162071228027,2.796691656112671
4,83.7806685757748,13,-2.0460612773895264,1.6744678020477295,-3.720529079437256,-0.3720529079437256,1.0033938884735107,-1.074845552444458,1.074845552444458,3.152265344397165e-05,5.0752434730529785,19.410449981689453,9.359589576721191,12.729314804077148,2.7966909408569336
5,83.86967062145865,13,-2.0460915565490723,1.674467921257019,-3.7205594778060913,-0.37205594778060913,1.003394365310669,-1.074845552444458,1.074845552444458,3.150690463371575e-05,5.075667858123779,19.413578033447266,9.360167503356934,12.72744083404541,2.7966880798339844
6,83.95868846283588,13,-2.046118974685669,1.674467921257019,-3.720586895942688,-0.3720586895942688,1.0033948421478271,-1.074845552444458,1.074845552444458,3.152265344397165e-05,5.076094627380371,19.41669273376465,9.360743522644043,12.725550651550293,2.796684503555298
7,84.04772298530942,13,-2.0461411476135254,1.6744681000709534,-3.7206092476844788,-0.3720609247684479,1.0033953189849854,-1.074845552444458,1.074845552444458,3.149453550577164e-05,5.076520919799805,19.419782638549805,9.36131763458252,12.723636627197266,2.796679973602295
8,84.13677319517468,13,-2.046163558959961,1.6744686365127563,-3.7206321954727173,-0.37206321954727173,1.003395915031433,-1.074845552444458,1.074845552444458,3.150126576656476e-05,5.076949596405029,19.4228572845459,9.361891746520996,12.721705436706543,2.7966740131378174
9,84.22583938789188,13,-2.046187162399292,1.6744679808616638,-3.720655143260956,-0.3720655143260956,1.0033965110778809,-1.074845552444458,1.074845552444458,3.1519306503469124e-05,5.07737922668457,19.425914764404297,9.362462997436523,12.719745635986328,2.796666145324707
10,84.31492104168031,13,-2.046204090118408,1.6744680404663086,-3.720672130584717,-0.3720672130584717,1.0033971071243286,-1.074845552444458,1.074845552444458,3.151025157421827e-05,5.0778093338012695,19.4289493560791,9.36303424835205,12.717774391174316,2.7966578006744385
11,84.40401976759186,13,-2.0462229251861572,1.6744682788848877,-3.720691204071045,-0.3720691204071045,1.0033974647521973,-1.074845552444458,1.074845552444458,3.1519306503469124e-05,5.078241348266602,19.431968688964844,9.363602638244629,12.715776443481445,2.796647548675537
