struct_id,dihedral_deg,n_atoms,e_total,e_short_eff,e_long_eff,e_long_raw,f_long_over_f_total,q0_mean,q0_abs_mean,q0_std,q1_norm_mean,q1_norm_max,q2_norm_mean,q2_norm_max,q_abs_mean_all_channels
0,83.42481930851925,13,-2.284956216812134,1.2516975402832031e-06,-2.284957468509674,-0.2284957468509674,0.9999998211860657,-1.2169010639190674,1.2169010639190674,1.322508325074523e-07,3.222135305404663,13.063531875610352,7.194922924041748,13.7957763671875,2.184945821762085
1,83.51375778436027,13,-2.2854397296905518,3.516674041748047e-06,-2.2854432463645935,-0.22854432463645935,1.0000017881393433,-1.216901183128357,1.216901183128357,1.1453258252913656e-07,3.2226412296295166,13.068093299865723,7.195326805114746,13.799773216247559,2.184981346130371
2,83.60271179666562,13,-2.285935401916504,1.7881393432617188e-07,-2.2859355807304382,-0.22859355807304382,0.9999992847442627,-1.2169010639190674,1.2169010639190674,1.55077842123319e-07,3.2231459617614746,13.072639465332031,7.195728778839111,13.803753852844238,2.1850154399871826
3,83.69168218714043,13,-2.286432981491089,-1.7881393432617188e-06,-2.2864311933517456,-0.22864311933517456,1.0000005960464478,-1.2169010639190674,1.2169010639190674,1.7495140980372526e-07,3.223649263381958,13.077170372009277,7.196127891540527,13.80771255493164,2.1850485801696777
4,83.7806685757748,13,-2.286931276321411,-1.1920928955078125e-06,-2.2869300842285156,-0.22869300842285156,0.9999996423721313,-1.2169010639190674,1.2169010639190674,1.5856318213991472e-07,3.224151611328125,13.081686973571777,7.196524620056152,13.811652183532715,2.1850810050964355
5,83.86967062145865,13,-2.2874367237091064,-1.7881393432617188e-06,-2.287434935569763,-0.22874349355697632,0.9999996423721313,-1.2169010639190674,1.2169010639190674,1.7804812557642435e-07,3.22465181350708,13.086183547973633,7.196917533874512,13.81556510925293,2.1851119995117188
6,83.95868846283588,13,-2.287935972213745,-6.556510925292969e-07,-2.2879353165626526,-0.22879353165626526,1.000001072883606,-1.2169010639190674,1.2169010639190674,1.3632103446070687e-07,3.2251510620117188,13.090664863586426,7.197308540344238,13.819458961486816,2.1851425170898438
7,84.04772298530942,13,-2.2884418964385986,5.125999450683594e-06,-2.2884470224380493,-0.22884470224380493,0.9999995231628418,-1.2169010639190674,1.2169010639190674,1.6197353147617832e-07,3.22564959526062,13.095134735107422,7.197698593139648,13.82333755493164,2.1851718425750732
8,84.13677319517468,13,-2.288943290710449,-1.2516975402832031e-06,-2.288942039012909,-0.2288942039012909,0.9999993443489075,-1.2169010639190674,1.2169010639190674,1.6531353708160168e-07,3.2261462211608887,13.099584579467773,7.198083877563477,13.827188491821289,2.185199737548828
9,84.22583938789188,13,-2.289452314376831,-4.5299530029296875e-06,-2.289447784423828,-0.2289447784423828,1.0,-1.2169010639190674,1.2169010639190674,1.6531353708160168e-07,3.2266414165496826,13.104019165039062,7.198468208312988,13.831022262573242,2.1852269172668457
10,84.31492104168031,13,-2.289956569671631,5.364418029785156e-07,-2.289957106113434,-0.22899571061134338,0.9999998807907104,-1.2169009447097778,1.2169009447097778,2.1680666861811915e-07,3.22713565826416,13.108440399169922,7.198849201202393,13.834837913513184,2.185253381729126
11,84.40401976759186,13,-2.290468692779541,-3.7550926208496094e-06,-2.29046493768692,-0.22904649376869202,0.9999997019767761,-1.2169009447097778,1.2169009447097778,2.1680666861811915e-07,3.227628231048584,13.11284351348877,7.199228286743164,13.838626861572266,2.1852784156799316
12,84.49313378713768,13,-2.29097580909729,1.7285346984863281e-06,-2.2909775376319885,-0.22909775376319885,1.0000005960464478,-1.2169010639190674,1.2169010639190674,1.7495140980372526e-07,3.2281198501586914,13.117231369018555,7.199604511260986,13.842399597167969,2.185302972793579
13,84.58226411541654,13,-2.2914865016937256,9.5367431640625e-07,-2.291487455368042,-0.2291487455368042,0.9999998807907104,-1.216901183128357,1.216901183128357,1.096565966918206e-07,3.228609800338745,13.121602058410645,7.199976921081543,13.846148490905762,2.185325860977173
