struct_id,dihedral_deg,n_atoms,e_total,e_short_eff,e_long_eff,e_long_raw,f_long_over_f_total,q0_mean,q0_abs_mean,q0_std,q1_norm_mean,q1_norm_max,q2_norm_mean,q2_norm_max,q_abs_mean_all_channels
0,83.42481930851925,13,-2.1654512882232666,-2.3245811462402344e-06,-2.1654489636421204,-0.21654489636421204,0.9999993443489075,-1.1379718780517578,1.1379718780517578,1.6531353708160168e-07,2.039201498031616,3.9827377796173096,8.98644733428955,14.524322509765625,2.2761261463165283
1,83.51375778436027,13,-2.1654722690582275,-3.5762786865234375e-07,-2.165471911430359,-0.2165471911430359,0.9999991655349731,-1.1379718780517578,1.1379718780517578,1.322508325074523e-07,2.0393288135528564,3.984221935272217,8.98664665222168,14.524322509765625,2.2761924266815186
2,83.60271179666562,13,-2.1655006408691406,2.2649765014648438e-06,-2.165502905845642,-0.2165502905845642,0.9999992847442627,-1.1379718780517578,1.1379718780517578,1.7179887379370484e-07,2.0394551753997803,3.985701560974121,8.98684310913086,14.524322509765625,2.276258945465088
3,83.69168218714043,13,-2.16552734375,-2.682209014892578e-06,-2.165524661540985,-0.2165524661540985,0.9999995231628418,-1.1379718780517578,1.1379718780517578,9.91881279333029e-08,2.039581060409546,3.9871768951416016,8.987043380737305,14.524324417114258,2.2763254642486572
4,83.7806685757748,13,-2.1655502319335938,-1.1324882507324219e-06,-2.165549099445343,-0.2165549099445343,1.0000004768371582,-1.1379718780517578,1.1379718780517578,1.322508325074523e-07,2.039706230163574,3.988649845123291,8.98724365234375,14.524322509765625,2.2763917446136475
5,83.86967062145865,13,-2.1655704975128174,-8.344650268554688e-07,-2.1655696630477905,-0.21655696630477905,1.0000020265579224,-1.1379718780517578,1.1379718780517578,1.55077842123319e-07,2.0398309230804443,3.9901156425476074,8.987446784973145,14.524324417114258,2.276458263397217
6,83.95868846283588,13,-2.1655898094177246,3.6954879760742188e-06,-2.1655935049057007,-0.21655935049057007,1.0000008344650269,-1.1379719972610474,1.1379719972610474,2.0111259857458208e-07,2.039954900741577,3.9915778636932373,8.987652778625488,14.524322509765625,2.276524066925049
7,84.04772298530942,13,-2.165609359741211,2.6226043701171875e-06,-2.165611982345581,-0.2165611982345581,1.0000009536743164,-1.1379719972610474,1.1379719972610474,2.038122204339743e-07,2.040078639984131,3.9930367469787598,8.987858772277832,14.524322509765625,2.276590347290039
8,84.13677319517468,13,-2.165620803833008,4.887580871582031e-06,-2.1656256914138794,-0.21656256914138794,1.0000004768371582,-1.1379718780517578,1.1379718780517578,1.55077842123319e-07,2.04020094871521,3.9944891929626465,8.988065719604492,14.524322509765625,2.27665638923645
9,84.22583938789188,13,-2.1656394004821777,1.1920928955078125e-06,-2.1656405925750732,-0.21656405925750732,0.9999980330467224,-1.1379718780517578,1.1379718780517578,1.5151236709698424e-07,2.0403239727020264,3.995939016342163,8.988274574279785,14.524324417114258,2.2767221927642822
